InChIkey,Solvent,MW,SASA,G_sol,DeltaG_sol,Volume,sol_dip,LsoluHsolv,LsolvHsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,LogS
JDCMOHAFGDQQJX-UHFFFAOYNA-N,methylcyclohexane,272.097,214.933,-25503.674000000003,135.04819999999745,228.349,0.000947538,8.501,14.086,0.0,0.61391,-0.08279,0.11863,-0.6139,-0.251533603
UFWIBTONFRDIAS-UHFFFAOYNA-N,"1,2-dibromoethane",128.173,165.632,-19447.87,148.91303030303243,228.349,0.000947538,9.833,8.343,0.0,-1.26498,-0.17376,0.16025,0.0,0.490035088
ONUFSRWQCKNVSL-UHFFFAOYNA-N,octane,334.116,260.826,-29329.130000000005,90.2037999999884,228.349,0.000947538,9.421,14.948,0.0,0.7598,-0.09544,0.16355,-0.7598,-0.174807813
XMTQQYYKAHVGBJ-XWKXFZRBNA-N,"1,2-dichloroethane",233.097,243.108,-26907.332,-1922.6404800000016,228.349,0.000947538,10.136,9.552,-0.65575,-0.2631599999999999,-0.65575,0.68032,-1.62549,-1.269999997
AYIRNRDRBQJXIF-SVGYMEAUNA-N,2-propanol,358.211,325.284,-36450.85,-2256.4359999999942,228.349,0.000947538,9.715,13.185,-3.19811,-1.4627800000000002,-1.00568,2.50359,-1.49169,-1.653436265
PZPZDEIASIKHPY-UHFFFAOYNA-N,dmf,242.234,256.132,-26998.82,-276.69533333333675,228.349,0.000947538,7.965000000000001,10.757,-1.63878,-0.72677,-0.58324,0.87842,-1.23049,0.005842273
JZFDKGFWNSQAHU-GPQMBLKYNA-N,ethanol,254.285,281.36,-29929.146,-522.4627999999939,309.20399999999995,5.9807,9.417000000000002,12.847,-1.6394700000000002,-0.89501,-0.58911,0.65739,-1.6394700000000002,0.223102349
CKAPSXZOOQJIBF-UHFFFAOYNA-N,heptane,284.784,220.81,-23577.268,1946.7298571428616,309.20399999999995,5.9807,9.505,14.063,0.0,0.02234,-0.00378,0.00378,-0.02234,-1.672028376
DWMREKMVXIFPFM-RWWBHRBBNA-N,toluene,351.394,321.969,-33319.814,-1286.7760833333305,358.56300000000005,6.95204,7.805999999999999,9.033,-2.89046,-0.90207,-0.94689,2.46554,-1.69108,-2.793708554
SKZKKFZAGNVIMN-FSHFIPFONA-N,1-hexanol,137.138,160.978,-21283.264000000003,-784.0521176470575,156.553,6.49041,9.577,12.482,-1.18883,0.0583599999999999,-0.68188,0.64155,-1.71006,-0.581698709
